Unsupervised Multi-Discriminator Generative Adversarial Network for Lung Nodule Malignancy Classification,Y. Kuang; T. Lan; X. Peng; G. E. Selasi; Q. Liu; J. Zhang,"School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; The 54th Research Institute of CETC, Shijiazhuang, China",IEEE Access,5-May-20,2020,8,,77725,77734,"Computer-aided diagnosis systems with deep learning frameworks have been used to identify benign and malignant pulmonary nodules in lung cancer diagnosis. It's commonly known that a premise of training complex deep neural nets is the large-scale labeled datasets. However, the abundance of labeled datasets is usually unavailable in many medical image domains. This factor can lead to the poor generalization performance of deep learning models. In this paper, we propose a novel multi-discriminator generative adversarial network model combined with an encoder for the classification of benign and malignant pulmonary nodules. To the best of our knowledge, we are the first to apply unsupervised learning to identify benign and malignant lung nodules. Firstly, we use a multi-discriminator generative adversarial network to build a generative model trained with unlabeled benign lung nodule images. Then an encoder is combined with the trained generative model to establish a mapping of benign pulmonary nodule images to the latent space. The benign and malignant lung nodules are scored by calculating the GAN discriminator feature loss and image reconstruction loss. The model yields high anomaly scores on malignant images and low anomaly scores on benign images. Experimental results show that our method with only a small number of unlabeled datasets could achieve more competitive results compared with other supervised deep learning approaches.",2169-3536,,10.1109/ACCESS.2020.2987961,"National Natural Science Foundation of China(grant numbers:U19B2028,61772117); National Science and Technology Commission Innovation Project(grant numbers:19-H863-01-ZT-003); CETC Big Data Research Institute(grant numbers:10-2018039); Sichuan Hi-Tech Industrialization Program(grant numbers:2018GFW0150); Fundamental Research Funds for the Central Universities(grant numbers:XGBDFZ09,ZYGX2019J077); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9066829,Computer-aided diagnosis (CAD);lung nodule;malignancy classification;unsupervised learning;generative adversarial networks,Cancer;Lung;Training;Generative adversarial networks;Gallium nitride;Machine learning;Biomedical imaging,cancer;computerised tomography;image classification;image coding;image reconstruction;lung;medical image processing;neural nets;unsupervised learning,GAN discriminator feature loss;multidiscriminator generative adversarial network model;benign pulmonary nodule images;unlabeled benign lung nodule images;unsupervised learning;deep learning models;medical image domains;large-scale labeled datasets;complex deep neural nets;lung cancer diagnosis;malignant pulmonary nodules;computer-aided diagnosis systems;lung nodule malignancy classification;unsupervised multidiscriminator generative adversarial network;supervised deep learning approaches;malignant images;image reconstruction loss;malignant lung nodules;benign lung nodules,,6,,36,CCBY,14-Apr-20,,,IEEE,IEEE Journals
A Fast and Efficient CAD System for Improving the Performance of Malignancy Level Classification on Lung Nodules,B. Wang; S. Si; E. Cui; H. Zhao; D. Yang; S. Dou; J. Zhu,"Engineering Research Center of Security Technology of Complex Network System, School of Computer Science and Engineering, Northeastern University, Shenyang, China; Engineering Research Center of Security Technology of Complex Network System, School of Computer Science and Engineering, Northeastern University, Shenyang, China; Engineering Research Center of Security Technology of Complex Network System, School of Computer Science and Engineering, Northeastern University, Shenyang, China; Engineering Research Center of Security Technology of Complex Network System, School of Computer Science and Engineering, Northeastern University, Shenyang, China; Affiliated Hospital of Liaoning University of Traditional Chinese Medicine, Shenyang, China; Engineering Research Center of Security Technology of Complex Network System, School of Computer Science and Engineering, Northeastern University, Shenyang, China; Engineering Research Center of Security Technology of Complex Network System, School of Computer Science and Engineering, Northeastern University, Shenyang, China",IEEE Access,3-Mar-20,2020,8,,40151,40170,"Accurate malignancy level classification of lung nodules can reduce lung cancer mortality rate effectively. In this study, we present a fast and efficient CAD system to improve the performance of nodules malignancy level classification. Firstly, to reduce false positives (FPs), we propose a novel vessel segmentation method which measures vessel likelihood by tubular-like structures discriminating from multiple views. The method can recognize irregular vascular structures robustly and sensitively, and achieve fast vessel segmentation. In addition, a mathematical description for 3D pulmonary entities using neighbor centroids clustering is provided as a fundamental condition for spatial feature extraction. To optimize features extraction, we formulate a gray values cumulative function and a patches selection function based on the mathematical description, to generate axial spatial outline and spatial density distribution samples of the entities, respectively. Then, we use Edge Orientation Histogram (EOH) to extract edge features from the spatial outline and propose a multi-scale path LBP (MSPLBP) to extract the texture feature of the density distribution samples. Finally, the fused EOH and MSPLBP are classified into 6 malignancy levels by three state-of-the-art classifiers. The experimental results show that the vessel segmentation method achieves an average F1_Score of 78.14% and AUC value under PR curves of 0.8149. Moreover, our system reaches an average accuracy of 95.88% and consumes average 176.26 seconds for evaluating a CT set on malignancy level classification. These results indicate that the system can segment vessels exactly, and classify the malignancy level of nodules efficiently. Our system is the potential to be a powerful tool for early diagnosis of lung cancer.",2169-3536,,10.1109/ACCESS.2020.2976575,"Fundamental Research Funds for the Central Universities(grant numbers:N161608001,N180716019); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9016176,Lung nodule;malignancy level classification;computer-aided diagnosis;vessels segmentation;Frangi filter;feature extraction,Feature extraction;Lung;Image segmentation;Cancer;Three-dimensional displays;Solid modeling;Image edge detection,cancer;computerised tomography;edge detection;feature extraction;image classification;image segmentation;image texture;lung;medical image processing;pattern clustering,lung nodules;lung cancer mortality rate;CAD system;nodules malignancy level classification;vessel likelihood;irregular vascular structures;vessel segmentation;3D pulmonary entities;neighbor centroids clustering;spatial feature extraction;gray values cumulative function;patches selection function;axial spatial outline;spatial density distribution samples;edge features;texture feature;edge orientation histogram;classifiers;CT set,,5,,47,CCBY,27-Feb-20,,,IEEE,IEEE Journals
Automatic Lung Nodule Detection Combined With Gaze Information Improves Radiologists’ Screening Performance,G. Aresta; C. Ferreira; J. Pedrosa; T. Ara&#x00FA;jo; J. Rebelo; E. Negr&#x00E3;o; M. Morgado; F. Alves; A. Cunha; I. Ramos; A. Campilho,"Faculty of Engineering of University of Porto (FEUP), Porto, Portugal; FEUP and INESC TEC, Porto, Portugal; INESC TEC, Porto, Portugal; FEUP and INESC TEC, Porto, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; INESC TEC, University of Tr&#x00E1;s-os-Montes e Alto Douro (UTAD), Vila Real, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; INESC TEC and FEUP, Porto, Portugal",IEEE Journal of Biomedical and Health Informatics,7-Oct-20,2020,24,10,2894,2901,"Early diagnosis of lung cancer via computed tomography can significantly reduce the morbidity and mortality rates associated with the pathology. However, searching lung nodules is a high complexity task, which affects the success of screening programs. Whilst computer-aided detection systems can be used as second observers, they may bias radiologists and introduce significant time overheads. With this in mind, this study assesses the potential of using gaze information for integrating automatic detection systems in the clinical practice. For that purpose, 4 radiologists were asked to annotate 20 scans from a public dataset while being monitored by an eye tracker device, and an automatic lung nodule detection system was developed. Our results show that radiologists follow a similar search routine and tend to have lower fixation periods in regions where finding errors occur. The overall detection sensitivity of the specialists was <inline-formula><tex-math notation=""LaTeX"">$\mathbf {0.67\pm 0.07}$</tex-math></inline-formula>, whereas the system achieved 0.69. Combining the annotations of one radiologist with the automatic system significantly improves the detection performance to similar levels of two annotators. Filtering automatic detection candidates only for low fixation regions still significantly improves the detection sensitivity without increasing the number of false-positives.",2168-2208,,10.1109/JBHI.2020.2976150,LNDetector; European Regional Development Fund; Operational Programme for Competitiveness - COMPETE 2020 Programme; National Fundus; Portuguese funding agency; Funda&#x00E7;&#x00E3;o para a Ci&#x00EA;ncia e a Tecnologia(grant numbers:POCI-01-0145-FEDER-016673); FCT(grant numbers:SFRH/BD/120435/2016); FCT(grant numbers:SFRH/BD/146437/2019); FCT(grant numbers:SFRH/BD/122365/2016); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9007735,Lung cancer;computer-aided diagnosis;eye-tracking;deep learning;clinical environment,Lung;Cancer;Sensitivity;Computed tomography;Search problems;Informatics;Task analysis,cancer;computerised tomography;diagnostic radiography;lung;medical image processing,searching lung nodules;mortality rates;computed tomography;lung cancer;automatic detection candidates;detection performance;automatic system;detection sensitivity;automatic lung nodule detection system;eye tracker device;integrating automatic detection systems;gaze information;computer-aided detection systems,"Deep Learning;Eye-Tracking Technology;Fixation, Ocular;Humans;Lung Neoplasms;Radiographic Image Interpretation, Computer-Assisted;Radiologists;Tomography, X-Ray Computed",5,,26,IEEE,24-Feb-20,,,IEEE,IEEE Journals
Memory-Augmented Capsule Network for Adaptable Lung Nodule Classification,A. Mobiny; P. Yuan; P. A. Cicalese; S. K. Moulik; N. Garg; C. C. Wu; K. Wong; S. T. Wong; T. C. He; H. V. Nguyen,"Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA; Triradiate Industries, Sugar Land, TX, USA; Department of Diagnostic Radiology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA; Department of Diagnostic Radiology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA; Department of Systems Medicine and Bioengineering, Houston Methodist Hospital, Houston, TX, USA; Department of Systems Medicine and Bioengineering, Houston Methodist Hospital, Houston, TX, USA; Department of Systems Medicine and Bioengineering, Houston Methodist Hospital, Houston, TX, USA; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA",IEEE Transactions on Medical Imaging,30-Sep-21,2021,40,10,2869,2879,"Computer-aided diagnosis (CAD) systems must constantly cope with the perpetual changes in data distribution caused by different sensing technologies, imaging protocols, and patient populations. Adapting these systems to new domains often requires significant amounts of labeled data for re-training. This process is labor-intensive and time-consuming. We propose a memory-augmented capsule network for the rapid adaptation of CAD models to new domains. It consists of a capsule network that is meant to extract feature embeddings from some high-dimensional input, and a memory-augmented task network meant to exploit its stored knowledge from the target domains. Our network is able to efficiently adapt to unseen domains using only a few annotated samples. We evaluate our method using a large-scale public lung nodule dataset (LUNA), coupled with our own collected lung nodules and incidental lung nodules datasets. When trained on the LUNA dataset, our network requires only 30 additional samples from our collected lung nodule and incidental lung nodule datasets to achieve clinically relevant performance (0.925 and 0.891 area under receiving operating characteristic curves (AUROC), respectively). This result is equivalent to using two orders of magnitude less labeled training data while achieving the same performance. We further evaluate our method by introducing heavy noise, artifacts, and adversarial attacks. Under these severe conditions, our network’s AUROC remains above 0.7 while the performance of state-of-the-art approaches reduce to chance level.",1558-254X,,10.1109/TMI.2021.3051089,National Science Foundation(grant numbers:1910973); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9319883,Capsule network;computer-aided diagnosis;incidental lung nodule;lung nodule;meta-learning,Lung;Training;Task analysis;Feature extraction;Adaptation models;Data models;Computed tomography,CAD;computerised tomography;feature extraction;image classification;learning (artificial intelligence);lung;medical image processing;patient diagnosis;pneumodynamics,memory-augmented capsule network;adaptable lung nodule classification;computer-aided diagnosis systems;data distribution;different sensing technologies;rapid adaptation;CAD models;memory-augmented task network;target domains;unseen domains;large-scale public lung nodule dataset;collected lung nodule;incidental lung nodules datasets;LUNA dataset;incidental lung nodule datasets;magnitude less labeled training data,"Diagnosis, Computer-Assisted;Humans;Lung;Lung Neoplasms;Solitary Pulmonary Nodule",5,,66,IEEE,12-Jan-21,,,IEEE,IEEE Journals
No Surprises: Training Robust Lung Nodule Detection for Low-Dose CT Scans by Augmenting With Adversarial Attacks,S. Liu; A. A. A. Setio; F. C. Ghesu; E. Gibson; S. Grbic; B. Georgescu; D. Comaniciu,"Digital Technology and Innovation, Siemens Healthineers, Princeton, NJ, USA; Digital Technology and Innovation, Siemens Healthineers, Erlangen, Germany; Digital Technology and Innovation, Siemens Healthineers, Princeton, NJ, USA; Digital Technology and Innovation, Siemens Healthineers, Princeton, NJ, USA; Digital Technology and Innovation, Siemens Healthineers, Princeton, NJ, USA; Digital Technology and Innovation, Siemens Healthineers, Princeton, NJ, USA; Digital Technology and Innovation, Siemens Healthineers, Princeton, NJ, USA",IEEE Transactions on Medical Imaging,29-Dec-20,2021,40,1,335,345,"Detecting malignant pulmonary nodules at an early stage can allow medical interventions which may increase the survival rate of lung cancer patients. Using computer vision techniques to detect nodules can improve the sensitivity and the speed of interpreting chest CT for lung cancer screening. Many studies have used CNNs to detect nodule candidates. Though such approaches have been shown to outperform the conventional image processing based methods regarding the detection accuracy, CNNs are also known to be limited to generalize on under-represented samples in the training set and prone to imperceptible noise perturbations. Such limitations can not be easily addressed by scaling up the dataset or the models. In this work, we propose to add adversarial synthetic nodules and adversarial attack samples to the training data to improve the generalization and the robustness of the lung nodule detection systems. To generate hard examples of nodules from a differentiable nodule synthesizer, we use projected gradient descent (PGD) to search the latent code within a bounded neighbourhood that would generate nodules to decrease the detector response. To make the network more robust to unanticipated noise perturbations, we use PGD to search for noise patterns that can trigger the network to give over-confident mistakes. By evaluating on two different benchmark datasets containing consensus annotations from three radiologists, we show that the proposed techniques can improve the detection performance on real CT data. To understand the limitations of both the conventional networks and the proposed augmented networks, we also perform stress-tests on the false positive reduction networks by feeding different types of artificially produced patches. We show that the augmented networks are more robust to both under-represented nodules as well as resistant to noise perturbations.",1558-254X,,10.1109/TMI.2020.3026261,National Cancer Institute for Access to NCI’s Data Collected; National Lung Screening Trial (NLST); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204673,Lung nodule detection;adversarial attack;medical image synthesis;deep learning,Training;Robustness;Lung;Cancer;Computed tomography;Biomedical imaging;Benchmark testing,cancer;computer vision;computerised tomography;diagnostic radiography;gradient methods;lung;medical image processing,unanticipated noise perturbations;CT data;augmented networks;training robust lung nodule detection;low-dose CT scans;adversarial attacks;malignant pulmonary nodules;lung cancer patients;computer vision techniques;chest CT;lung cancer screening;CNN;conventional image processing based methods;adversarial synthetic nodules;training data;lung nodule detection systems;imperceptible noise perturbations;projected gradient descent,"Early Detection of Cancer;Humans;Image Processing, Computer-Assisted;Lung;Lung Neoplasms;Radiographic Image Interpretation, Computer-Assisted;Solitary Pulmonary Nodule;Tomography, X-Ray Computed",5,,49,IEEE,23-Sep-20,,,IEEE,IEEE Journals
Nodule-Plus R-CNN and Deep Self-Paced Active Learning for 3D Instance Segmentation of Pulmonary Nodules,W. Wang; R. Feng; J. Chen; Y. Lu; T. Chen; H. Yu; D. Z. Chen; J. Wu,"College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China",IEEE Access,18-Sep-19,2019,7,,128796,128805,"Accurate and automatic segmentation of pulmonary nodules in 3D thoracic Computed Tomography (CT) images is of great significance for Computer-Aided medical Diagnosis (CAD) of lung cancer. Currently, this important task remains challenging for lack of the voxel-level annotation and training strategies that balance target/background voxels in thoracic CT images. In this paper, a new region-based network, called Nodule-plus Region-based CNN, is proposed to detect pulmonary nodules in 3D thoracic CT images effectively while synchronously generating an instance segmentation mask for every detected instance. Our new network is constructed with a stack of convolutional blocks in which lateral connections are used to alleviate the difficulty of vanishing gradients. In addition, in order to reduce annotation workload and make best use of unannotated samples, we proposed a new Deep Self-paced Active Learning (DSAL) strategy by combining Active Learning (AL) and Self-Paced Learning (SPL) strategies. For the purpose of evaluating the performance of our proposed Nodule-plus R-CNN, we conduct a series of experiments on the public LIDC-IDRI dataset, and our model achieves 0.66 Dice and 0.96 TP Dice, which are state-of-the-art best results of pulmonary nodule segmentation. When the amount of available annotated samples is limited, our model trained with the DSAL strategy performs much better than that trained with the standard strategy.",2169-3536,,10.1109/ACCESS.2019.2939850,"National Natural Science Foundation of China(grant numbers:81700882,71804161); National Science Foundation(grant numbers:CCF-1617735); Zhejiang University(grant numbers:K18-511120-004,K17-518051-021); National Natural Science Foundation of China(grant numbers:61672453); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8826589,Pulmonary nodule segmentation;3D CT images;R-CNN;active learning;self-paced learning,Three-dimensional displays;Computed tomography;Image segmentation;Feature extraction;Training;Cancer;Lung,cancer;computerised tomography;convolutional neural nets;feature extraction;image classification;image segmentation;learning (artificial intelligence);lung;medical image processing,pulmonary nodules;thoracic CT images;instance segmentation mask;pulmonary nodule segmentation;3D instance segmentation;automatic segmentation;voxel-level annotation;region-based network;computed tomography images;computer-aided medical diagnosis;nodule-plus region-based CNN;nodule-plus R-CNN;deep self-paced active learning strategy;3D thoracic computed tomography images;lung cancer;LIDC-IDRI dataset,,5,,29,CCBY,6-Sep-19,,,IEEE,IEEE Journals
Semantic Features Prediction for Pulmonary Nodule Diagnosis Based on Online Streaming Feature Selection,J. Yang; N. Li; S. Fang; K. Yu; Y. Chen,"School of Computer Science and Information Engineering, Hefei University of Technology, Hefei, China; School of Computer Science and Information Engineering, Hefei University of Technology, Hefei, China; School of Computer Science and Information Engineering, Hefei University of Technology, Hefei, China; School of Computer Science and Information Engineering, Hefei University of Technology, Hefei, China; School of Management, University of Science and Technology of China, Hefei, China",IEEE Access,20-May-19,2019,7,,61121,61135,"Early diagnosis significantly improves the survival rate in lung carcinoma patients. This study attempts to construct a predictive network between the computational features and semantic features of pulmonary nodules using online feature selection and causal structure learning. In this paper, we exploit the causal discovery based on the streaming feature algorithm and causal discovery with symmetrical uncertainty based on the streaming feature algorithm. Different from the traditional learning methods that usually obtain all computational features in advance and then select the optimal subset of features from the computational features, the proposed approach integrates online streaming feature selection with causal structure learning. The critical challenges in this integration include: 1) the dynamic selection of computational features and 2) how to evaluate the feature subsets and implement causal structure learning. In addition, considering that building a causal structure network is a time-consuming process, we improve the process by using support vector machines based on the streaming feature algorithm. The experimental results show that our proposed algorithms improve on other traditional feature selection algorithms and ensemble learning algorithm without feature selection with regard to learning accuracy.",2169-3536,,10.1109/ACCESS.2019.2903682,"National Key Research and Development Plan(grant numbers:2016YFC0800104); Fundamental Research Funds for the Central Universities(grant numbers:PA2018GDQT0011); National 111 Project(grant numbers:B14025); National Natural Science Foundation of China(grant numbers:61876206,71771203,61872327); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8663360,Causal structure learning;online streaming feature selection;pulmonary nodule;semantic features selection,Feature extraction;Semantics;Prediction algorithms;Cancer;Lung;Classification algorithms;Heuristic algorithms,cancer;computerised tomography;feature extraction;learning (artificial intelligence);lung;medical diagnostic computing;medical image processing;support vector machines,semantic features prediction;pulmonary nodule diagnosis;online streaming feature selection;computational features;online feature selection;causal structure learning;causal discovery;streaming feature algorithm;feature subsets;causal structure network;traditional feature selection algorithms,,5,,32,OAPA,8-Mar-19,,,IEEE,IEEE Journals
Deep Learning Assisted Predict of Lung Cancer on Computed Tomography Images Using the Adaptive Hierarchical Heuristic Mathematical Model,H. Yu; Z. Zhou; Q. Wang,"School of Information Engineering, Pingdingshan University, Pingdingshan, China; School of Information Engineering, Pingdingshan University, Pingdingshan, China; School of Information Engineering, Pingdingshan University, Pingdingshan, China",IEEE Access,18-May-20,2020,8,,86400,86410,"Lung cancer is known to be one of the most dangerous diseases which are the main reason for disease and death when diagnosed in primitive stages. Since lung cancer can only be detected more broadly after it spread to lung parts and the occurrence of lung cancer in the earlier stage is very difficult to predict. It causes a greater risk as radiologists and specialist doctors assess the existence of lung cancer. For this reason, it is important to build a smart and automatic cancer prediction system that is accurate and at which stage of cancer or to improve the accuracy of the previous cancer prediction that will help determines the type of treatment and treatment depth depending on the severity of the disease. In this paper, the Adaptive Hierarchical Heuristic Mathematical Model (AHHMM) has been proposed for the deep learning approach. To analyze deep learning based on the historical therapy scheme in the development of Non-Small Cell Lung Cancers (NSCLC) automated radiation adaptation protocols that aim at optimizing local tumor regulation at lower rates of grade 2 RP2 radiation pneumonitis. Furthermore, the system proposed consists of several steps including acquiring the image, preprocessing, binarization, thresholding, and segmentation, extraction of features and detection of deep neural network (DNN). Segmentation of the lung CT image is carried out to extract any significant feature of a segmented image, and a specific feature extraction method is implemented. The test evaluation showed that the model proposed could detect 96.67 % accuracy of the absence or presence of lung cancer.",2169-3536,,10.1109/ACCESS.2020.2992645,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086786,Lung cancer detection;deep learning;deep neural network;mathematical model,Lung cancer;Computed tomography;Lung;Deep learning;Mathematical model;Neural networks,cancer;computerised tomography;feature extraction;image segmentation;learning (artificial intelligence);lung;medical image processing;neural nets;physiological models;radiation therapy;tumours,deep neural network;feature extraction;image segmentation;image thresholding;image binarization;image preprocessing;grade 2 RP2 radiation pneumonitis;local tumor regulation;radiation adaptation protocols;historical therapy scheme;adaptive hierarchical heuristic mathematical model;computed tomography;nonsmall cell lung cancers;automatic cancer prediction system;lung cancer;deep learning,,4,,30,CCBY,5-May-20,,,IEEE,IEEE Journals
Multi-Task Learning for Lung Nodule Classification on Chest CT,P. Zhai; Y. Tao; H. Chen; T. Cai; J. Li,"HwaMei Hospital, University of Chinese Academy of Sciences, Ningbo, China; HwaMei Hospital, University of Chinese Academy of Sciences, Ningbo, China; HwaMei Hospital, University of Chinese Academy of Sciences, Ningbo, China; HwaMei Hospital, University of Chinese Academy of Sciences, Ningbo, China; HwaMei Hospital, University of Chinese Academy of Sciences, Ningbo, China",IEEE Access,9-Oct-20,2020,8,,180317,180327,"Lung cancer is one of the leading causes of death over the world. Detecting and identifying malignant nodules on chest computed tomography (CT) plays an important role in the diagnosis and treatment of lung cancer. Computer-aided diagnosis (CAD) systems have been developed to identify lung nodules. However, the problem of a high false positive rate is still not well solved. In this paper, we propose a novel multi-task convolutional neural network (MT-CNN) framework to identify malignant nodules from benign nodules on chest CT scans. MT-CNN learns three-dimensional (3-D) lung nodule characteristics from nine two-dimensional (2-D) views, which are decomposed from different angles of each nodule. Each of 2-D MT-CNN model consists of two branches, one is the nodule classification branch (main task) and the other is the image reconstruction branch (auxiliary task). The motivation of the auxiliary task is to preserve more microscopic information in the hierarchical structure of CNN, which is beneficial to malignant nodule identification. The final classification result is obtained by integrating nine 2-D models. We test our method on the benchmark LUNA-16 and LIDC-IDRI datasets and compare it with state-of-the-art models. MT-CNN achieves the lowest false positive rate (3.2%) and highest AUC (97.3%) in LUNA-16 dataset and achieves an AUC of 95.59% in LIDC-IDRI. These results demonstrate the advantage of our method.",2169-3536,,10.1109/ACCESS.2020.3027812,"Zhejiang Provincial Natural Science Foundation of China(grant numbers:LQ20F030013); Research Foundation of HwaMei Hospital, University of Chinese Academy of Sciences, China(grant numbers:2020HMZD22); Ningbo Health Branding Subject Foundation(grant numbers:PPXK2018-05); Zhejiang Provincial Public Service and Application Research Foundation, China(grant numbers:202002N3181); Medical Scientific Research Foundation of Zhejiang Province, China(grant numbers:2021KY1028); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9210054,Multi-task learning;lung nodule classification;image reconstruction;computer-aided diagnosis;convolutional neural network,Lung;Cancer;Computed tomography;Solid modeling;Task analysis;Image reconstruction;Computational modeling,CAD;cancer;computerised tomography;convolutional neural nets;diagnostic radiography;feature extraction;image classification;image reconstruction;learning (artificial intelligence);lung;medical image processing,multitask learning;lung nodule classification;lung cancer;malignant nodules;chest computed tomography;computer-aided diagnosis systems;novel multitask convolutional neural network framework;benign nodules;chest CT scans;lung nodule characteristics;MT-CNN model;nodule classification branch;image reconstruction branch;auxiliary task;malignant nodule identification;LUNA-16 dataset,,4,,47,CCBY,30-Sep-20,,,IEEE,IEEE Journals
Pulmonary Nodule Detection Using V-Net and High-Level Descriptor Based SVM Classifier,Y. Ye; M. Tian; Q. Liu; H. -M. Tai,"Department of Electrical and Computer Engineering, The University of Tulsa, Tulsa, OK, USA; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; Department of Radiology, Mianyang Central Hospital, Mianyang, China; Department of Electrical and Computer Engineering, The University of Tulsa, Tulsa, OK, USA",IEEE Access,2-Oct-20,2020,8,,176033,176041,"Early detection of the pulmonary nodule is critical to increase the five-year survival rate of lung cancer. Many computer-aided diagnosis (CAD) systems have been proposed for nodule detection to assist radiologists in diagnosis. Along this direction, this paper proposes a novel automated pulmonary nodule detection model using the modified V-Nets and a high-level descriptor based support vector machine (SVM) classifier. The former is for nodule candidate detection and the latter is for false positive (FP) reduction. A hard mining scheme for retraining is devised to improve the FP reduction performance. The proposed SVM classifier, which employs more critical features of CT images, performs superior in FP reduction than other SVM based classifiers and CNN classifiers. Experimental results using the LIDC-IDRI dataset are presented to demonstrate the effectiveness of the proposed CAD model.",2169-3536,,10.1109/ACCESS.2020.3026168,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204700,Convolutional neural networks (CNNs);pulmonary nodule detection;lung CT image;classification;support vector machine (SVM),Three-dimensional displays;Computed tomography;Support vector machines;Cancer;Lung;Solid modeling;Feature extraction,CAD;cancer;computerised tomography;feature extraction;image classification;image segmentation;lung;medical image processing;support vector machines,LIDC-IDRI dataset;CT images;hard mining;CAD model;CNN classifiers;SVM classifier;FP reduction performance;high-level descriptor based support vector machine classifier;modified V-Nets;novel automated pulmonary nodule detection model;computer-aided diagnosis systems;lung cancer,,4,,39,CCBY,23-Sep-20,,,IEEE,IEEE Journals
Pulmonary Nodules Detection Based on Deformable Convolution,J. Gu; Z. Tian; Y. Qi,"State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, Tianjin, China; School of Artificial Intelligence, Hebei University of Technology, Tianjin, China; State Key Laboratory of Reliability and Intelligence of Electrical Equipment, Hebei University of Technology, Tianjin, China",IEEE Access,28-Jan-20,2020,8,,16302,16309,"Early detection of malignant pulmonary nodules is of great help to the treatment of lung cancer. Yet it is difficult to establish a general diagnostic standard because of the two main characteristics of pulmonary nodules: different sizes and irregular shapes. To address this problem effectively, an improved pulmonary nodule detection model based on deformable convolution is proposed. Specifically, by adding a branch network to obtain the offsets, the process of feature extraction is more suitable with the shape of nodule itself. Besides, a simple but effective strategy is proposed for the size variability of pulmonary nodules, which is combined with the multilevel information as well as the fusion of different sizes feature maps. Compared with the two-dimensional convolution neural network and other advanced technologies, our method has a significant improvement, and its mean average precision can achieve 82.7%.",2169-3536,,10.1109/ACCESS.2020.2967238,National Natural Science Foundation of China(grant numbers:6170215); NSF of Hebei Province through the Key Program(grant numbers:F2016202144); National Natural Science Foundation of China(grant numbers:41804118); Scientific and Technological Research Projects of Hebei Province(grant numbers:QN2018085); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8962069,Computer-aided detection;Lung cancer;Pulmonary nodules,Convolution;Feature extraction;Shape;Lung cancer;Computed tomography;Neural networks;Object detection,cancer;computerised tomography;convolutional neural nets;feature extraction;lung;medical image processing,feature extraction;lung cancer treatment;malignant pulmonary nodules;pulmonary nodule detection;two-dimensional convolution neural network;deformable convolution,,4,,25,CCBY,17-Jan-20,,,IEEE,IEEE Journals
