,,,,,,scopus papers,,,,,,,,,,,,,,,
"Balachandran S., Divya, Rajendran N., Giri B.",Detection of pulmonary nodules in ct images using deep learning technique,2020,Journal of Computer Science,16,4,,568,575,,10.3844/JCSSP.2020.568.575,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089216083&doi=10.3844%2fJCSSP.2020.568.575&partnerID=40&md5=2d2cd8e61fb0e57550549cc33cb80efe,"School of Computing, SASTRA Deemed to Be University, Thanjavur, Tamil Nadu, 613402, India","Balachandran, S., School of Computing, SASTRA Deemed to Be University, Thanjavur, Tamil Nadu, 613402, India; Divya, School of Computing, SASTRA Deemed to Be University, Thanjavur, Tamil Nadu, 613402, India; Rajendran, N., School of Computing, SASTRA Deemed to Be University, Thanjavur, Tamil Nadu, 613402, India; Giri, B., School of Computing, SASTRA Deemed to Be University, Thanjavur, Tamil Nadu, 613402, India","Lung cancer is known as the highest mortality rate cancer, which needs biopsy to determine its subtype for further treatment. Recently, deep learning has provided powerful tools in lung cancer diagnose and therapeutic regimen making. However, it is still a challenge to identify the pathological type of lung cancer in early stage by CT images due to the lack of public training data set and powerful artificial intelligent models. In this work, we firstly build up a data set of CT images from 125 patients of lung cancer in early stage. The data set is enhanced by revolving, shifting and reproducing operations to avoid its inherent imbalance. After that, a deep convolutional neural network namely VGG16-T is proposed and multiple VGG16-T worked as weak classifiers are trained with a boosting strategy. Such method achieves significant performance in identifying pathological type of lung cancer with CT images by joint voting. Experiments conducted on the enhanced data set of CT images show that 3 weak classifiers VGG16-T are sufficient to achieve accuracy 86.58% in identifying pathological type, which performs better than some state-of-the-art deep learning models, including AlexNet, ResNet-34 and DenseNet with or without Softmax weights. As well, VGG16-T is with accuracy 85% by diagnosing 20 randomly selected CT images, while two respiratory doctors from Grade 3A level hospitals obtain accuracy 55% and 65% by handcrafted diagnosing, respectively. To our best acknowledge, this is the first attempt of using deep models and boosting to identify pathological type of lung cancer in early stage from small scale CT images. © 2020 The Authors. Published by Atlantis Press SARL.",Computer aided diagnosis (CAD); Convolutional neural network (CNN); Lung cancer,,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85089216083
"Pang S., Meng F., Wang X., Wang J., Song T., Wang X., Cheng X.",VGG16-T: A novel deep convolutional neural network with boosting to identify pathological type of lung cancer in early stage by ct images,2020,International Journal of Computational Intelligence Systems,13,1,,771,780,9,10.2991/ijcis.d.200608.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087107433&doi=10.2991%2fijcis.d.200608.001&partnerID=40&md5=07a914ef87bdd60afbebd62ac56c7580,"College of Computer Science and Technology, China University of Petroleum, Qingdao, Shandong, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; School of Electrical Engineering and Automation, Tiangong University, Xiqing, Tianjin, China; Departamento de Inteligencia Artificial, Universidad Politécnica de Madrid, Campus de Montegancedo Boadilla del Monte, Madrid, Spain; Department of Respiratory Medicine, Shandong Provincial Hospital Affiliated to Shandong University, Jinan, Shandong, China; School of Science and Technology, Middlesex University, The Burroughs, Hendon, London, United Kingdom","Pang, S., College of Computer Science and Technology, China University of Petroleum, Qingdao, Shandong, China; Meng, F., College of Computer Science and Technology, China University of Petroleum, Qingdao, Shandong, China; Wang, X., College of Computer Science and Technology, China University of Petroleum, Qingdao, Shandong, China; Wang, J., College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; Song, T., College of Computer Science and Technology, China University of Petroleum, Qingdao, Shandong, China, School of Electrical Engineering and Automation, Tiangong University, Xiqing, Tianjin, China, Departamento de Inteligencia Artificial, Universidad Politécnica de Madrid, Campus de Montegancedo Boadilla del Monte, Madrid, Spain; Wang, X., Department of Respiratory Medicine, Shandong Provincial Hospital Affiliated to Shandong University, Jinan, Shandong, China; Cheng, X., School of Science and Technology, Middlesex University, The Burroughs, Hendon, London, United Kingdom","Computer-aided diagnosis systems with deep learning frameworks have been used to identify benign and malignant pulmonary nodules in lung cancer diagnosis. It's commonly known that a premise of training complex deep neural nets is the large-scale labeled datasets. However, the abundance of labeled datasets is usually unavailable in many medical image domains. This factor can lead to the poor generalization performance of deep learning models. In this paper, we propose a novel multi-discriminator generative adversarial network model combined with an encoder for the classification of benign and malignant pulmonary nodules. To the best of our knowledge, we are the first to apply unsupervised learning to identify benign and malignant lung nodules. Firstly, we use a multi-discriminator generative adversarial network to build a generative model trained with unlabeled benign lung nodule images. Then an encoder is combined with the trained generative model to establish a mapping of benign pulmonary nodule images to the latent space. The benign and malignant lung nodules are scored by calculating the GAN discriminator feature loss and image reconstruction loss. The model yields high anomaly scores on malignant images and low anomaly scores on benign images. Experimental results show that our method with only a small number of unlabeled datasets could achieve more competitive results compared with other supervised deep learning approaches. © 2013 IEEE.",,Biological organs; Classification (of information); Convolution; Convolutional neural networks; Deep learning; Deep neural networks; Diagnosis; Diseases; Image enhancement; Artificial intelligent; Further treatments; Learning models; Mortality rate; Small scale; State of the art; Training data sets; Weak classifiers; Computerized tomography,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85087107433
"Tabares-Soto R., Orozco-Arias S., Romero-Cano V., Bucheli V.S., Rodríguez-Sotelo J.L., Jiménez-Varón C.F.",A comparative study of machine learning and deep learning algorithms to classify cancer types based on microarray gene expression data,2020,PeerJ Computer Science,2020,4,270,,,22,10.7717/peerj-cs.270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085682566&doi=10.7717%2fpeerj-cs.270&partnerID=40&md5=f2fb02405183565d38a512f46c554405,"Department of Electronics and Automation, Universidad Autónoma de Manizales, Manizales, Caldas, Colombia; Department of Computer Science, Universidad Autónoma de Manizales, Manizales, Caldas, Colombia; Department of Systems and informatics, Universidad de Caldas, Manizales, Caldas, Colombia; Department of Automatics and Electronics, Universidad Autónoma de Occidente, Cali, Valle del Cauca, Colombia; Izmir International Biomedicine and Genome Institute, Dokuz Eylül University, Izmir, Turkey; Department of Physics and Mathematics, Universidad Autónoma de Manizales, Manizales, Caldas, Colombia","Tabares-Soto, R., Department of Electronics and Automation, Universidad Autónoma de Manizales, Manizales, Caldas, Colombia; Orozco-Arias, S., Department of Computer Science, Universidad Autónoma de Manizales, Manizales, Caldas, Colombia, Department of Systems and informatics, Universidad de Caldas, Manizales, Caldas, Colombia; Romero-Cano, V., Department of Automatics and Electronics, Universidad Autónoma de Occidente, Cali, Valle del Cauca, Colombia; Bucheli, V.S., Izmir International Biomedicine and Genome Institute, Dokuz Eylül University, Izmir, Turkey; Rodríguez-Sotelo, J.L., Department of Electronics and Automation, Universidad Autónoma de Manizales, Manizales, Caldas, Colombia; Jiménez-Varón, C.F., Department of Physics and Mathematics, Universidad Autónoma de Manizales, Manizales, Caldas, Colombia","With the development of medical imaging technology and the introduction of computed tomography (CT), early screening for lung cancer is becoming more and more possible. In this paper, we introduce the method of wavelet dynamic analysis to extract and repair the lung parenchyma, so as to exclude the noise interference outside the lung parenchyma. The algorithm can help us to locate the lung nodules with higher accuracy. Then, the convolution neural network (CNN) optimized by genetic algorithm and the traditional CNN are used to extract the features of CT image of pulmonary nodules. The corresponding features of different images are automatically distinguished. By comparing the accuracy of the two algorithms, it is proved that the CNN optimized by genetic algorithm has higher accuracy. Finally, the CNN optimized by genetic algorithm is used to detect and classify the existing pulmonary nodule images, which provides guidance for CT image detection technology of pulmonary nodule. © 2013 IEEE.",11_tumor database; Bioinformatics; Cancer classification; Deep Learning; Machine Learning; Microarray gene expression,Bioinformatics; Classification (of information); Computer aided diagnosis; Convolutional neural networks; Database systems; Diseases; Gene expression; Learning algorithms; Learning systems; Logistic regression; Supervised learning; Tumors; Cancer classification; Classification methods; Comparative studies; Hardware and software; Identification accuracy; K fold cross validations; Microarray gene expression data; Supervised machine learning; Deep learning,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85085682566
"Qin R., Wang Z., Jiang L., Qiao K., Hai J., Chen J., Xu J., Shi D., Yan B.",Fine-Grained Lung Cancer Classification from PET and CT Images Based on Multidimensional Attention Mechanism,2020,Complexity,2020,,6153657,,,14,10.1155/2020/6153657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078978609&doi=10.1155%2f2020%2f6153657&partnerID=40&md5=d5cb07f50031eee9d8c881229cf2d972,"PLA Strategy Support Force Information Engineering University, Zhengzhou, 450001, China; Department of Radiology, Henan Provincial People's Hospital, Zhengzhou, 450002, China","Qin, R., PLA Strategy Support Force Information Engineering University, Zhengzhou, 450001, China; Wang, Z., Department of Radiology, Henan Provincial People's Hospital, Zhengzhou, 450002, China; Jiang, L., PLA Strategy Support Force Information Engineering University, Zhengzhou, 450001, China; Qiao, K., PLA Strategy Support Force Information Engineering University, Zhengzhou, 450001, China; Hai, J., PLA Strategy Support Force Information Engineering University, Zhengzhou, 450001, China; Chen, J., PLA Strategy Support Force Information Engineering University, Zhengzhou, 450001, China; Xu, J., Department of Radiology, Henan Provincial People's Hospital, Zhengzhou, 450002, China; Shi, D., Department of Radiology, Henan Provincial People's Hospital, Zhengzhou, 450002, China; Yan, B., PLA Strategy Support Force Information Engineering University, Zhengzhou, 450001, China","The analysis of multi-modality positron emission tomography and computed tomography (PET-CT) images for computer-aided diagnosis applications (e.g., detection and segmentation) requires combining the sensitivity of PET to detect abnormal regions with anatomical localization from CT. Current methods for PET-CT image analysis either process the modalities separately or fuse information from each modality based on knowledge about the image analysis task. These methods generally do not consider the spatially varying visual characteristics that encode different information across different modalities, which have different priorities at different locations. For example, a high abnormal PET uptake in the lungs is more meaningful for tumor detection than physiological PET uptake in the heart. Our aim is to improve the fusion of the complementary information in multi-modality PET-CT with a new supervised convolutional neural network (CNN) that learns to fuse complementary information for multi-modality medical image analysis. Our CNN first encodes modality-specific features and then uses them to derive a spatially varying fusion map that quantifies the relative importance of each modality's feature across different spatial locations. These fusion maps are then multiplied with the modality-specific feature maps to obtain a representation of the complementary multi-modality information at different locations, which can then be used for image analysis. We evaluated the ability of our CNN to detect and segment multiple regions (lungs, mediastinum, and tumors) with different fusion requirements using a dataset of PET-CT images of lung cancer. We compared our method to baseline techniques for multi-modality image fusion (fused inputs (FSs), multi-branch (MB) techniques, and multi-channel (MC) techniques) and segmentation. Our findings show that our CNN had a significantly higher foreground detection accuracy (99.29%, p < {0.05) than the fusion baselines (FS: 99.00%, MB: 99.08%, and TC: 98.92%) and a significantly higher Dice score (63.85%) than the recent PET-CT tumor segmentation methods. © 1982-2012 IEEE.",,Biological organs; Clinical research; Computer aided diagnosis; Deep learning; Diseases; Extraction; Image classification; Medical computing; Area under the ROC curve; Attention mechanisms; Automated diagnosis; Automatic diagnosis; Comparative analysis; Learning architectures; Non-invasive diagnosis; Quantitative evaluation; Computerized tomography,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85078978609
"Cao H., Liu H., Song E., Hung C.-C., Ma G., Xu X., Jin R., Lu J.",Dual-branch residual network for lung nodule segmentation,2020,Applied Soft Computing Journal,86,,105934,,,44,10.1016/j.asoc.2019.105934,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075371721&doi=10.1016%2fj.asoc.2019.105934&partnerID=40&md5=002f56e8542efc61c231c2c83384a32f,"Huazhong University of Science and Technology, School of Computer Science & Technology, Wuhan, 430074, China; Kennesaw State University, The Laboratory for Machine Vision and Security Research, 1000 Chastain Rd., Kennesaw, GA  30144, United States","Cao, H., Huazhong University of Science and Technology, School of Computer Science & Technology, Wuhan, 430074, China; Liu, H., Huazhong University of Science and Technology, School of Computer Science & Technology, Wuhan, 430074, China; Song, E., Huazhong University of Science and Technology, School of Computer Science & Technology, Wuhan, 430074, China; Hung, C.-C., Kennesaw State University, The Laboratory for Machine Vision and Security Research, 1000 Chastain Rd., Kennesaw, GA  30144, United States; Ma, G., Huazhong University of Science and Technology, School of Computer Science & Technology, Wuhan, 430074, China; Xu, X., Huazhong University of Science and Technology, School of Computer Science & Technology, Wuhan, 430074, China; Jin, R., Huazhong University of Science and Technology, School of Computer Science & Technology, Wuhan, 430074, China; Lu, J., Huazhong University of Science and Technology, School of Computer Science & Technology, Wuhan, 430074, China","Computer aided detection (CADe) of pulmonary nodules plays an important role in assisting radiologists’ diagnosis and alleviating interpretation burden for lung cancer. Current CADe systems, aiming at simulating radiologists’ examination procedure, are built upon computer tomography (CT) images with feature extraction for detection and diagnosis. Human visual perception in CT image is reconstructed from sinogram, which is the original raw data acquired from CT scanner. In this work, different from the conventional image based CADe system, we propose a novel sinogram based CADe system in which the full projection information is used to explore additional effective features of nodules in the sinogram domain. Facing the challenges of limited research in this concept and unknown effective features in the sinogram domain, we design a new CADe system that utilizes the self-learning power of the convolutional neural network to learn and extract effective features from sinogram. The proposed system was validated on 208 patient cases from the publicly available online Lung Image Database Consortium database, with each case having at least one juxtapleural nodule annotation. Experimental results demonstrated that our proposed method obtained a value of 0.91 of the area under the curve (AUC) of receiver operating characteristic based on sinogram alone, comparing to 0.89 based on CT image alone. Moreover, a combination of sinogram and CT image could further improve the value of AUC to 0.92. This study indicates that pulmonary nodule detection in the sinogram domain is feasible with deep learning. © 2019, The Author(s).",Computer-aided diagnosis; Deep learning; Lung nodule segmentation; Residual neural networks,Biological organs; Computer aided diagnosis; Computer aided instruction; Convolution; Deep learning; Deep neural networks; Image enhancement; Image segmentation; Neural networks; Convolutional neural network; Generalization capability; Lung nodule segmentation; Multi-scale features; Robust segmentation; Sampling strategies; Segmentation performance; Similarity coefficients; Computerized tomography,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85075371721
"Gao Y., Tan J., Liang Z., Li L., Huo Y.",Improved computer-aided detection of pulmonary nodules via deep learning in the sinogram domain,2019,"Visual Computing for Industry, Biomedicine, and Art",2,1,15,,,3,10.1186/s42492-019-0029-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098674697&doi=10.1186%2fs42492-019-0029-2&partnerID=40&md5=22f3a27240922dacc770c5c41ec777b3,"Department of Radiology, State University of New York, Stony Brook, NY  11794, United States; Departments of Computer Science, City University of New York/CSI, Staten Island, NY  10314, United States; Engineering and Environmental Science, City University of New York/CSI, Staten Island, NY  10314, United States","Gao, Y., Department of Radiology, State University of New York, Stony Brook, NY  11794, United States; Tan, J., Department of Radiology, State University of New York, Stony Brook, NY  11794, United States, Departments of Computer Science, City University of New York/CSI, Staten Island, NY  10314, United States; Liang, Z., Department of Radiology, State University of New York, Stony Brook, NY  11794, United States; Li, L., Engineering and Environmental Science, City University of New York/CSI, Staten Island, NY  10314, United States; Huo, Y., Departments of Computer Science, City University of New York/CSI, Staten Island, NY  10314, United States","Lung cancer is a serious illness which leads to increased mortality rate globally. The identification of lung cancer at the beginning stage is the probable method of improving the survival rate of the patients. Generally, Computed Tomography (CT) scan is applied for finding the location of the tumor and determines the stage of cancer. Existing works has presented an effective diagnosis classification model for CT lung images. This paper designs an effective diagnosis and classification model for CT lung images. The presented model involves different stages namely pre-processing, segmentation, feature extraction and classification. The initial stage includes an adaptive histogram based equalization (AHE) model for image enhancement and bilateral filtering (BF) model for noise removal. The pre-processed images are fed into the second stage of watershed segmentation model for effectively segment the images. Then, a deep learning based Xception model is applied for prominent feature extraction and the classification takes place by the use of logistic regression (LR) classifier. A comprehensive simulation is carried out to ensure the effective classification of the lung CT images using a benchmark dataset. The outcome implied the outstanding performance of the presented model on the applied test images. © BEIESP.",Computed tomography; Computer-aided detection; Deep learning; Lung; Sinogram,Biological organs; Computer aided diagnosis; Computer aided instruction; Deep learning; Feature extraction; Image enhancement; Neural networks; 'current; Areas under the curves; Computer aided detection; Computer aided detection systems; Computer tomography images; Deep learning; Lung Cancer; Pulmonary nodules; Sinogram domain; Sinograms; Computerized tomography,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85098674697
"Jayaraj D., Sathiamoorthy S.",Deep learning based depthwise separable model for effective diagnosis and classification of lung Ct images,2019,International Journal of Engineering and Advanced Technology,9,1,,1808,1819,2,10.35940/ijeat.A1439.109119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074752739&doi=10.35940%2fijeat.A1439.109119&partnerID=40&md5=90106b1bcf74004a8ec8bf7597453892,"Department of Computer Science & Engineering, Annamalai University, Chidambaram, India; Tamil Virtual Academy, Chennai, India","Jayaraj, D., Department of Computer Science & Engineering, Annamalai University, Chidambaram, India; Sathiamoorthy, S., Tamil Virtual Academy, Chennai, India","Lung cancer is one of the major causes of cancer-related deaths due to its aggressive nature and delayed detections at advanced stages. Early detection of lung cancer is very important for the survival of an individual, and is a significant challenging problem. Generally, chest radiographs (X-ray) and computed tomography (CT) scans are used initially for the diagnosis of the malignant nodules; however, the possible existence of benign nodules leads to erroneous decisions. At early stages, the benign and the malignant nodules show very close resemblance to each other. In this paper, a novel deep learning-based model with multiple strategies is proposed for the precise diagnosis of the malignant nodules. Due to the recent achievements of deep convolutional neural networks (CNN) in image analysis, we have used two deep three-dimensional (3D) customized mixed link network (CMixNet) architectures for lung nodule detection and classification, respectively. Nodule detections were performed through faster R-CNN on efficiently-learned features from CMixNet and U-Net like encoder–decoder architecture. Classification of the nodules was performed through a gradient boosting machine (GBM) on the learned features from the designed 3D CMixNet structure. To reduce false positives and misdiagnosis results due to different types of errors, the final decision was performed in connection with physiological symptoms and clinical biomarkers. With the advent of the internet of things (IoT) and electro-medical technology, wireless body area networks (WBANs) provide continuous monitoring of patients, which helps in diagnosis of chronic diseases—especially metastatic cancers. The deep learning model for nodules’ detection and classification, combined with clinical factors, helps in the reduction of misdiagnosis and false positive (FP) results in early-stage lung cancer diagnosis. The proposed system was evaluated on LIDC-IDRI datasets in the form of sensitivity (94%) and specificity (91%), and better results were obatined compared to the existing methods. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.",Classification; CT images; Feature extraction; Lung cancer; Segmentation,,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85074752739
"Zhang S., Han F., Liang Z., Tan J., Cao W., Gao Y., Pomeroy M., Ng K., Hou W.",An investigation of CNN models for differentiating malignant from benign lesions using small pathologically proven datasets,2019,Computerized Medical Imaging and Graphics,77,,101645,,,19,10.1016/j.compmedimag.2019.101645,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071093088&doi=10.1016%2fj.compmedimag.2019.101645&partnerID=40&md5=8ae77cc9502150936e64e0b69fc97e6c,"Department of Radiology, Stony Brook University, Stony Brook, NY  11794, United States; Northeastern University, Shenyang, Liaoning  110819, China; Department of Biomedical Engineering, Stony Brook University, Stony Brook, NY  11794, United States; Department of Electrical & Computer Engineering, Stony Brook University, Stony Brook, NY  11794, United States; Department of Computer Science, City University of New York, the Graduate CenterNY  10016, United States; Department of Preventive Medicine, Stony Brook University, Stony Brook, NY  11794, United States","Zhang, S., Department of Radiology, Stony Brook University, Stony Brook, NY  11794, United States; Han, F., Northeastern University, Shenyang, Liaoning  110819, China; Liang, Z., Department of Radiology, Stony Brook University, Stony Brook, NY  11794, United States, Department of Biomedical Engineering, Stony Brook University, Stony Brook, NY  11794, United States, Department of Electrical & Computer Engineering, Stony Brook University, Stony Brook, NY  11794, United States; Tan, J., Department of Computer Science, City University of New York, the Graduate CenterNY  10016, United States; Cao, W., Department of Radiology, Stony Brook University, Stony Brook, NY  11794, United States; Gao, Y., Department of Radiology, Stony Brook University, Stony Brook, NY  11794, United States; Pomeroy, M., Department of Biomedical Engineering, Stony Brook University, Stony Brook, NY  11794, United States; Ng, K., Department of Electrical & Computer Engineering, Stony Brook University, Stony Brook, NY  11794, United States; Hou, W., Department of Preventive Medicine, Stony Brook University, Stony Brook, NY  11794, United States","While deep learning methods have demonstrated performance comparable to human readers in tasks such as computer-aided diagnosis, these models are difficult to interpret, do not incorporate prior domain knowledge, and are often considered as a “black-box.” The lack of model interpretability hinders them from being fully understood by end users such as radiologists. In this paper, we present a novel interpretable deep hierarchical semantic convolutional neural network (HSCNN) to predict whether a given pulmonary nodule observed on a computed tomography (CT) scan is malignant. Our network provides two levels of output: 1) low-level semantic features; and 2) a high-level prediction of nodule malignancy. The low-level outputs reflect diagnostic features often reported by radiologists and serve to explain how the model interprets the images in an expert-interpretable manner. The information from these low-level outputs, along with the representations learned by the convolutional layers, are then combined and used to infer the high-level output. This unified architecture is trained by optimizing a global loss function including both low- and high-level tasks, thereby learning all the parameters within a joint framework. Our experimental results using the Lung Image Database Consortium (LIDC) show that the proposed method not only produces interpretable lung cancer predictions but also achieves better results compared to using a 3D CNN alone. © 2019 Elsevier Ltd",Cancer imaging; Convolutional neural network; Machine learning; Nodule characterization; Pathologically proven datasets; Polyp characterization,"Computerized tomography; Convolution; Deep learning; Diseases; Image enhancement; Large dataset; Learning systems; Medical imaging; Neural networks; Cancer imaging; Classification performance; Computed tomographic; Convolutional neural network; Local binary patterns; Pathologically proven datasets; Receiver operating curves; Unbalanced datasets; Classification (of information); adenomatous polyp; adult; aged; area under the curve; Article; benign neoplasm; clinical feature; colorectal polyp; comparative study; controlled study; convolutional neural network; deep learning; diagnostic imaging; diagnostic test accuracy study; female; human; image processing; learning algorithm; lung nodule; machine learning; major clinical study; male; malignant neoplasm; priority journal; quantitative analysis; sensitivity and specificity; villous adenoma; visual field; x-ray computed tomography; colorectal tumor; computer assisted diagnosis; differential diagnosis; information processing; lung tumor; middle aged; pathology; procedures; very elderly; Aged; Aged, 80 and over; Colorectal Neoplasms; Datasets as Topic; Diagnosis, Computer-Assisted; Diagnosis, Differential; Female; Humans; Lung Neoplasms; Male; Middle Aged; Neural Networks, Computer; Tomography, X-Ray Computed",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85071093088
"Nasrullah N., Sang J., Alam M.S., Mateen M., Cai B., Hu H.",Automated lung nodule detection and classification using deep learning combined with multiple strategies,2019,Sensors (Switzerland),19,17,3722,,,96,10.3390/s19173722,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071753712&doi=10.3390%2fs19173722&partnerID=40&md5=3637e3d90e424d3a2f28d232cdeba48a,"Key Laboratory of Dependable Service Computing in Cyber Physical Society of Ministry of Education, Chongqing University, Chongqing, 400044, China; School of Big Data & Software Engineering, Chongqing University, Chongqing, 401331, China; Department of Software Engineering, Foundation University Islamabad, Islamabad, 44000, Pakistan; Frank H. Dotterweich College of Engineering, Texas A&M University—Kingsville, Kingsville, TX  78363-8202, United States","Nasrullah, N., Key Laboratory of Dependable Service Computing in Cyber Physical Society of Ministry of Education, Chongqing University, Chongqing, 400044, China, School of Big Data & Software Engineering, Chongqing University, Chongqing, 401331, China, Department of Software Engineering, Foundation University Islamabad, Islamabad, 44000, Pakistan; Sang, J., Key Laboratory of Dependable Service Computing in Cyber Physical Society of Ministry of Education, Chongqing University, Chongqing, 400044, China, School of Big Data & Software Engineering, Chongqing University, Chongqing, 401331, China; Alam, M.S., Frank H. Dotterweich College of Engineering, Texas A&M University—Kingsville, Kingsville, TX  78363-8202, United States; Mateen, M., Key Laboratory of Dependable Service Computing in Cyber Physical Society of Ministry of Education, Chongqing University, Chongqing, 400044, China, School of Big Data & Software Engineering, Chongqing University, Chongqing, 401331, China; Cai, B., Key Laboratory of Dependable Service Computing in Cyber Physical Society of Ministry of Education, Chongqing University, Chongqing, 400044, China, School of Big Data & Software Engineering, Chongqing University, Chongqing, 401331, China; Hu, H., Key Laboratory of Dependable Service Computing in Cyber Physical Society of Ministry of Education, Chongqing University, Chongqing, 400044, China, School of Big Data & Software Engineering, Chongqing University, Chongqing, 401331, China","Currently, lung cancer has one of the highest mortality rates because it is often caught too late. Therefore, early detection is essential to reduce the risk of death. Pulmonary nodules are considered key indicators of primary lung cancer. Developing an efficient and accurate computer-aided diagnosis system for pulmonary nodule detection is an important goal. Typically, a computer-aided diagnosis system for pulmonary nodule detection consists of two parts: candidate nodule extraction and false-positive reduction of candidate nodules. The reduction of false positives (FPs) of candidate nodules remains an important challenge due to morphological characteristics of nodule height changes and similar characteristics to other organs. In this study, we propose a novel multi-scale heterogeneous three-dimensional (3D) convolutional neural network (MSH-CNN) based on chest computed tomography (CT) images. There are three main strategies of the design: (1) using multi-scale 3D nodule blocks with different levels of contextual information as inputs; (2) using two different branches of 3D CNN to extract the expression features; (3) using a set of weights which are determined by back propagation to fuse the expression features produced by step 2. In order to test the performance of the algorithm, we trained and tested on the Lung Nodule Analysis 2016 (LUNA16) dataset, achieving an average competitive performance metric (CPM) score of 0.874 and a sensitivity of 91.7% at two FPs/scan. Moreover, our framework is universal and can be easily extended to other candidate false-positive reduction tasks in 3D object detection, as well as 3D object classification. © 2019 by the authors.",Clinical biomarkers; Deep convolutional neural networks; Internet of things; Pulmonary nodules; Wireless body area networks,"Biological organs; Biomarkers; Biomedical engineering; Computer aided diagnosis; Computerized tomography; Convolution; Diseases; Internet of things; Network architecture; Neural networks; Wireless local area networks (WLAN); Automated lung nodule detection; Clinical biomarkers; Computed tomography scan; Convolutional neural network; Early-stage lung cancers; Internet of thing (IOT); Pulmonary nodules; Wireless body area network; Deep neural networks; computer assisted diagnosis; diagnostic imaging; early cancer diagnosis; factual database; human; image processing; lung; lung tumor; neoplasm; pathology; physiology; procedures; wireless communication; x-ray computed tomography; Databases, Factual; Deep Learning; Diagnosis, Computer-Assisted; Early Detection of Cancer; Humans; Image Processing, Computer-Assisted; Internet of Things; Lung; Lung Neoplasms; Neoplasms; Neural Networks, Computer; Radiographic Image Interpretation, Computer-Assisted; Tomography, X-Ray Computed; Wireless Technology",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85071753712
"Kaur R., Doegar A.",Localization and classification of brain tumor using machine learning & deep learning techniques,2019,International Journal of Innovative Technology and Exploring Engineering,8,9,,59,66,8,10.35940/ijitee.I1010.0789S19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073272304&doi=10.35940%2fijitee.I1010.0789S19&partnerID=40&md5=b75803510cc5d4daeec7c7964731c7fc,"Department of Computer Science & Engineering, National Institute of Technical Teachers Training and Research (NITTTR), Chandigarh, India","Kaur, R., Department of Computer Science & Engineering, National Institute of Technical Teachers Training and Research (NITTTR), Chandigarh, India; Doegar, A., Department of Computer Science & Engineering, National Institute of Technical Teachers Training and Research (NITTTR), Chandigarh, India","The size and shape of a nodule are the essential indicators of malignancy in lung cancer diagnosis. However, effectively capturing the nodule's structural information from CT scans in a computer-aided system is a challenging task. Unlike previous models that proposed computationally intensive deep ensemble models or three-dimensional CNN models, we propose a lightweight, multiple view sampling based multi-section CNN architecture. The model obtains a nodule's cross sections from multiple view angles and encodes the nodule's volumetric information into a compact representation by aggregating information from its different cross sections via a view pooling layer. The compact feature is subsequently used for the task of nodule classification. The method does not require the nodule's spatial annotation and works directly on the cross sections generated from volume enclosing the nodule. We evaluated the proposed method on lung image database consortium (LIDC) and image database resource initiative (IDRI) dataset. It achieved the state-of-the-art performance with a mean 93.18% classification accuracy. The architecture could also be used to select the representative cross sections determining the nodule's malignancy that facilitates in the interpretation of results. Because of being lightweight, the model could be ported to mobile devices, which brings the power of artificial intelligence (AI) driven application directly into the practitioner's hand. © 2013 IEEE.",Brain Tumor; Machine Learning; MRI,,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85073272304
